category,department,brand,inventory_units,inventory_cost,inventory_retail_value,units_sold_90d,sell_through_proxy,weeks_of_supply_proxy
Intimates,Women,Hip,60,687.08,1277.44,11,0.1549,5.45
Intimates,Women,Anemone,60,628.82,1161.54,8,0.1176,7.5
Dresses,Women,TopTie,60,594.19,1331.54,5,0.0769,12.0
Active,Men,Dockers,60,560.53,1280.42,5,0.0769,12.0
Underwear,Men,American Apparel,60,407.38,810.0,1,0.0164,60.0
Socks & Hosiery,Women,Yelete,60,395.5,1058.04,3,0.0476,20.0
Accessories,Men,Flexfit,60,336.93,843.25,1,0.0164,60.0
Socks & Hosiery,Women,L'eggs,60,332.19,777.08,7,0.1045,8.57
Accessories,Women,Private Island,60,233.49,554.13,2,0.0323,30.0
Sweaters,Women,Joie,59,5968.06,13558.4,5,0.0781,11.8
Fashion Hoodies & Sweatshirts,Men,Ben Sherman,59,3905.12,6913.0,3,0.0484,19.67
Tops & Tees,Men,Fred Perry,59,3248.12,5585.0,4,0.0635,14.75
Tops & Tees,Women,Anne Klein,59,2591.74,4481.9,3,0.0484,19.67
Sweaters,Men,Tasso Elba,59,1480.79,2991.12,5,0.0781,11.8
Tops & Tees,Men,French Connection,59,1476.02,2655.87,2,0.0328,29.5
Tops & Tees,Men,Marc Ecko Cut & Sew,59,1275.81,2319.25,1,0.0167,59.0
Swim,Women,MW,59,1148.25,2664.41,6,0.0923,9.83
Intimates,Women,Gemsli,59,1021.96,1861.0,6,0.0923,9.83
Intimates,Women,Fitness Etc.,59,934.95,1644.29,3,0.0484,19.67
Socks,Men,Cole Haan,59,912.56,1566.85,1,0.0167,59.0
Shorts,Men,Aeropostale,59,830.1,1628.41,5,0.0781,11.8
Shorts,Women,YMI,59,818.88,1652.61,2,0.0328,29.5
Accessories,Men,Storus Corporation,59,716.46,1767.05,0,0.0,
Leggings,Women,ililily,59,673.17,1112.41,2,0.0328,29.5
Intimates,Women,Artwedding,59,594.84,1085.41,2,0.0328,29.5
Dresses,Women,Curve Appeal,59,532.6,1155.71,5,0.0781,11.8
Dresses,Women,VIP BOUTIQUE,59,469.81,1085.41,7,0.1061,8.43
Fashion Hoodies & Sweatshirts,Women,Xfy,59,414.94,863.41,4,0.0635,14.75
Plus,Women,Foot Traffic,59,381.18,762.75,2,0.0328,29.5
Socks & Hosiery,Women,Wigwam,59,377.65,909.22,6,0.0923,9.83
Plus,Women,Fruit of the Loom,59,363.0,708.48,5,0.0781,11.8
Outerwear & Coats,Men,Spiewak,58,6806.37,14506.4,4,0.0645,14.5
Sleep & Lounge,Women,Hanro,58,4021.91,6638.0,4,0.0645,14.5
Jeans,Women,BIG STAR,58,3549.47,6704.82,6,0.0938,9.67
Intimates,Women,What Katie Did,58,3412.33,6143.0,4,0.0645,14.5
Blazers & Jackets,Women,Karen Kane,58,2366.69,6553.45,2,0.0333,29.0
Sleep & Lounge,Women,Cool-jams Wicking Sleepwear,58,2237.32,3626.0,3,0.0492,19.33
Jeans,Women,Volcom,58,2119.01,4030.6,7,0.1077,8.29
Suits & Sport Coats,Men,Landisun,58,1878.17,4639.42,5,0.0794,11.6
Maternity,Women,Womama,58,1586.47,3534.42,1,0.0169,58.0
Intimates,Women,Goddess,58,1489.42,2794.23,5,0.0794,11.6
Shorts,Men,Wolverine,58,1142.02,2257.43,4,0.0645,14.5
Fashion Hoodies & Sweatshirts,Men,Southpole,58,933.33,1674.69,4,0.0645,14.5
Fashion Hoodies & Sweatshirts,Women,Southpole,58,769.43,1659.86,3,0.0492,19.33
Skirts,Women,Alki'i,58,454.52,1099.42,4,0.0645,14.5
Socks & Hosiery,Women,Wrightsock,58,418.89,1082.08,3,0.0492,19.33
Plus,Women,Snoozies,58,415.24,803.94,2,0.0333,29.0
Plus,Women,Symphony Designs,58,222.01,432.88,7,0.1077,8.29
Outerwear & Coats,Men,Outdoor Research,57,5749.71,12585.0,3,0.05,19.0
Outerwear & Coats,Men,Michael Kors,57,3859.93,9455.71,4,0.0656,14.25
Outerwear & Coats,Men,Vintage,57,3233.59,7036.83,2,0.0339,28.5
Dresses,Women,Miss Sixty,57,3108.8,6689.78,2,0.0339,28.5
Outerwear & Coats,Men,ZeroXposur,57,2471.07,5634.43,2,0.0339,28.5
Jeans,Women,L.A. Idol Jeans,57,1969.04,3788.1,4,0.0656,14.25
Tops & Tees,Men,Under Armour,57,1751.74,3064.35,4,0.0656,14.25
Maternity,Women,Belabumbum,57,1641.62,3809.0,5,0.0806,11.4
Intimates,Women,Oscar de la Renta,57,1630.4,3130.19,4,0.0656,14.25
Jeans,Men,Haggar,57,1575.77,2835.6,2,0.0339,28.5
Tops & Tees,Men,Chestnut Hill,57,1446.04,2639.45,7,0.1094,8.14
Fashion Hoodies & Sweatshirts,Men,Caterpillar,57,1433.26,2641.81,3,0.05,19.0
Shorts,Men,Altamont,57,1350.8,2766.5,4,0.0656,14.25
Pants,Men,Cianni,57,1295.05,2847.15,6,0.0952,9.5
Intimates,Women,Affinitas Intimates,57,1103.84,2095.8,5,0.0806,11.4
Pants,Men,Hot Topic,57,1019.89,2154.82,3,0.05,19.0
Socks,Men,Kenneth Cole,57,865.49,1499.89,5,0.0806,11.4
Tops & Tees,Men,Caterpillar,57,736.53,1347.75,5,0.0806,11.4
Active,Men,C-IN2,57,722.06,1849.0,7,0.1094,8.14
Sleep & Lounge,Men,Croft & Barrow,57,710.25,1830.0,3,0.05,19.0
Socks,Men,BBC,57,311.84,530.43,7,0.1094,8.14
Socks & Hosiery,Women,Nvie Designs,57,175.71,449.43,4,0.0656,14.25
Outerwear & Coats,Women,Cashmere Boutique,56,8174.62,17984.0,2,0.0345,28.0
Sweaters,Men,Psycho Bunny,56,3455.18,6660.0,7,0.1111,8.0
Tops & Tees,Men,True Religion,56,3215.53,5567.37,1,0.0175,56.0
Swim,Women,Kenneth Cole,56,1924.77,4438.0,1,0.0175,56.0
Outerwear & Coats,Men,DC,56,1756.69,4123.74,6,0.0968,9.33
Swim,Men,Throwdown,56,1724.32,2904.79,6,0.0968,9.33
Shorts,Men,Calvin Klein Jeans,56,1697.92,3515.28,3,0.0508,18.67
Pants,Men,Matix,56,1495.33,3201.2,6,0.0968,9.33
Swim,Women,Longitude,56,1191.93,2879.44,4,0.0667,14.0
Fashion Hoodies & Sweatshirts,Men,Independent,56,1098.08,1959.73,2,0.0345,28.0
Fashion Hoodies & Sweatshirts,Men,U.S. Polo Assn.,56,1034.63,1909.44,6,0.0968,9.33
Tops & Tees,Men,G by GUESS,56,840.04,1492.0,3,0.0508,18.67
Tops & Tees,Men,Anvil,56,790.43,1385.9,5,0.082,11.2
Active,Women,FineBrandShop,56,664.08,1544.0,7,0.1111,8.0
Active,Women,MJ Soffe,56,396.43,991.67,6,0.0968,9.33
Socks & Hosiery,Women,Capelli New York,56,262.86,658.9,3,0.0508,18.67
Suits & Sport Coats,Men,Scotch & Soda,55,5135.08,12638.0,2,0.0351,27.5
Dresses,Women,Lilly Pulitzer,55,3063.66,6450.4,5,0.0833,11.0
Tops & Tees,Women,Jones New York,55,2356.06,4247.65,1,0.0179,55.0
Suits & Sport Coats,Men,Dockers,55,1857.11,4787.22,4,0.0678,13.75
Intimates,Women,Anita,55,1821.76,3430.96,6,0.0984,9.17
Swim,Men,Guy Harvey,55,1557.74,2568.46,0,0.0,
Pants & Capris,Women,Democracy,55,1456.32,2790.08,5,0.0833,11.0
Fashion Hoodies & Sweatshirts,Men,Threads4Thought,55,1440.71,2513.1,3,0.0517,18.33
Pants,Men,O'Neill,55,1133.79,2595.35,2,0.0351,27.5
Tops & Tees,Men,RVCA,55,1085.91,1882.0,11,0.1667,5.0
Tops & Tees,Men,GUINNESS,55,888.98,1572.57,5,0.0833,11.0
Sleep & Lounge,Men,Jockey,55,854.75,2101.0,4,0.0678,13.75
Tops & Tees,Women,Sons Of Anarchy,55,723.51,1284.45,5,0.0833,11.0
Underwear,Men,New Balance,55,439.68,946.81,3,0.0517,18.33
Socks & Hosiery,Women,Socksmith,55,288.89,742.45,4,0.0678,13.75
Sweaters,Men,Michael Kors,54,5780.42,11982.6,6,0.1,9.0
Sweaters,Women,Minnie Rose,54,4461.36,10540.64,3,0.0526,18.0
Pants,Men,Joseph Abboud,54,2251.13,5019.56,3,0.0526,18.0
Tops & Tees,Women,Chaus,54,1540.11,2730.7,3,0.0526,18.0
Dresses,Women,AGB,54,1525.79,3355.56,5,0.0847,10.8
Outerwear & Coats,Men,Caterpillar,54,1450.13,3282.43,2,0.0357,27.0
Leggings,Women,American Apparel,54,1369.86,2330.0,6,0.1,9.0
Shorts,Men,Oakley,54,1354.29,2684.65,3,0.0526,18.0
Fashion Hoodies & Sweatshirts,Women,PacSun,54,1168.68,2462.29,3,0.0526,18.0
Plus,Women,Suncloud,54,974.81,2011.42,2,0.0357,27.0
Pants,Men,RSQ,54,973.1,2159.02,7,0.1148,7.71
Accessories,Women,Pashmina,54,814.51,1954.46,4,0.069,13.5
Sweaters,Men,UltraClub,54,710.21,1404.11,4,0.069,13.5
Tops & Tees,Women,Southpole,54,681.04,1249.8,2,0.0357,27.0
Plus,Women,Lily of France,54,584.25,1182.4,4,0.069,13.5
Skirts,Women,Woman Within,54,583.91,1512.46,7,0.1148,7.71
Skirts,Women,Full Tilt,54,476.93,1187.46,4,0.069,13.5
Skirts,Women,Hot Topic,54,473.53,1193.84,5,0.0847,10.8
Skirts,Women,Anna-Kaci,54,460.19,1170.6,7,0.1148,7.71
Shorts,Women,Wallflower,54,424.18,843.39,6,0.1,9.0
Socks,Men,Doctor Who,54,421.46,684.46,5,0.0847,10.8
Socks & Hosiery,Women,Trasparenze,54,396.55,979.46,4,0.069,13.5
Underwear,Men,Blue Line,54,305.07,654.02,5,0.0847,10.8
Active,Women,Hanes,54,240.25,585.79,5,0.0847,10.8
Sweaters,Men,Victorinox,53,3393.4,6773.34,4,0.0702,13.25
Sleep & Lounge,Women,Munki Munki,53,2765.66,4664.0,5,0.0862,10.6
Blazers & Jackets,Women,DKNYC,53,2648.08,6982.29,6,0.1017,8.83
Sweaters,Men,Lucky Brand,53,2502.59,5075.97,7,0.1167,7.57
Blazers & Jackets,Women,Orvis,53,2414.03,6617.0,2,0.0364,26.5
Dresses,Women,BB Dakota,53,2156.38,4983.0,3,0.0536,17.67
Sweaters,Women,Kenneth Cole,53,1870.22,3989.3,5,0.0862,10.6
Swim,Men,Aftco,53,1732.38,2859.47,3,0.0536,17.67
Jeans,Men,Minus33 Merino Wool,53,1718.16,3183.0,3,0.0536,17.67
Tops & Tees,Women,Seven7,53,1321.87,2377.0,3,0.0536,17.67
Pants & Capris,Women,Columbia,53,1249.31,2353.26,5,0.0862,10.6
Dresses,Women,Volcom,53,1109.74,2494.2,4,0.0702,13.25
Tops & Tees,Women,Hurley,53,941.74,1694.17,5,0.0862,10.6
Accessories,Men,Pratt and Hart,53,778.23,1884.35,6,0.1017,8.83
Suits & Sport Coats,Men,Dickies,53,776.29,2052.0,7,0.1167,7.57
Accessories,Women,Columbia,53,763.32,1912.45,3,0.0536,17.67
Socks,Men,FITS Sock Company,53,590.26,984.47,6,0.1017,8.83
Active,Women,PUMA,53,561.44,1387.65,3,0.0536,17.67
Accessories,Men,Hurley,53,524.02,1219.5,3,0.0536,17.67
Shorts,Women,Dickies Girl,53,518.19,1054.16,2,0.0364,26.5
Accessories,Men,Volcom,53,501.12,1268.33,4,0.0702,13.25
Intimates,Women,Carol Wright Gifts,53,479.08,907.34,6,0.1017,8.83
Leggings,Women,Isadora Pacini,53,382.96,624.47,3,0.0536,17.67
Accessories,Women,Angelina,53,163.0,399.47,4,0.0702,13.25
Jeans,Women,Affliction,52,3894.87,6980.0,3,0.0545,17.33
Leggings,Women,DAVID Seeds,52,3064.16,4894.89,2,0.037,26.0
Outerwear & Coats,Women,Jessica Simpson,52,2878.89,6460.37,3,0.0545,17.33
Fashion Hoodies & Sweatshirts,Men,Burton,52,2277.88,4087.73,2,0.037,26.0
Pants & Capris,Women,Kenneth Cole,52,1673.09,3072.75,7,0.1186,7.43
Pants & Capris,Women,Volcom,52,1468.82,2780.55,4,0.0714,13.0
Pants,Men,Toddland,52,1427.44,3016.0,5,0.0877,10.4
Shorts,Women,Silver Jeans,52,1238.13,2482.16,2,0.037,26.0
Tops & Tees,Women,Funfash,52,1228.77,2079.48,2,0.037,26.0
Pants & Capris,Women,Ed Garments,52,1210.29,2247.48,5,0.0877,10.4
Accessories,Women,Suncloud,52,908.03,2221.58,2,0.037,26.0
Swim,Women,Kenneth Cole REACTION,52,890.92,2097.09,5,0.0877,10.4
Sweaters,Men,John Henry,52,746.86,1501.71,4,0.0714,13.0
Shorts,Women,AxParis,52,701.97,1386.9,4,0.0714,13.0
Socks,Men,Ralph Lauren,52,698.19,1135.5,3,0.0545,17.33
Socks & Hosiery,Women,Casual Socks,52,539.97,1328.69,6,0.1034,8.67
Skirts,Women,eVogues Apparel,52,476.03,1184.48,2,0.037,26.0
Accessories,Women,Tapp Collections,52,214.28,536.26,1,0.0189,52.0
Accessories,Women,Scarf_tradinginc,52,179.95,469.26,4,0.0714,13.0
Suits,Women,Anne Klein,51,4995.81,8291.68,4,0.0727,12.75
Outerwear & Coats,Women,Outdoor Research,51,4727.47,10231.75,4,0.0727,12.75
Outerwear & Coats,Men,Filson,51,4217.43,9014.0,4,0.0727,12.75
Suits & Sport Coats,Men,Hillside USA Leather Inc.,51,4003.55,9485.0,5,0.0893,10.2
Outerwear & Coats,Women,Nicole Miller,51,3002.42,6873.24,6,0.1053,8.5
Jumpsuits & Rompers,Women,MAXSTUDIO,51,2911.18,5678.0,4,0.0727,12.75
Pants,Men,Brixton,51,1563.62,3267.78,1,0.0192,51.0
Plus,Women,Columbia,51,1509.24,3031.81,6,0.1053,8.5
Sweaters,Men,Marc Ecko Cut & Sew,51,1415.63,2834.5,6,0.1053,8.5
Swim,Men,Stohlquist,51,1291.85,2184.24,3,0.0556,17.0
Tops & Tees,Men,EAGLE,51,1217.82,2225.4,8,0.1356,6.38
Sleep & Lounge,Men,Port Authority,51,990.49,2533.57,4,0.0727,12.75
Sweaters,Women,American Apparel,51,937.65,2226.0,3,0.0556,17.0
Shorts,Women,Quiksilver,51,917.97,1841.6,5,0.0893,10.2
Sleep & Lounge,Men,Angry Birds,51,900.28,2274.89,4,0.0727,12.75
Sweaters,Women,Vobaga,51,891.81,1932.69,4,0.0727,12.75
Active,Men,Sub Sports,51,731.0,1791.0,8,0.1356,6.38
Accessories,Women,ECHO,51,671.43,1611.84,3,0.0556,17.0
Tops & Tees,Men,Adventure Time,51,612.65,1079.04,7,0.1207,7.29
Active,Men,Wrightsock,51,461.52,1109.93,1,0.0192,51.0
Socks,Men,Bjorn Borg,51,366.18,609.45,3,0.0556,17.0
Socks & Hosiery,Women,Stella Elyse,51,284.4,722.49,2,0.0377,25.5
Intimates,Women,Levusha Fashions,51,193.6,366.25,4,0.0727,12.75
Socks,Men,LRG,51,155.08,261.33,2,0.0377,25.5
Intimates,Women,Alivila.Y Fashion,51,130.66,243.49,6,0.1053,8.5
Outerwear & Coats,Men,Cashmere Boutique,50,8162.9,18650.0,4,0.0741,12.5
Suits & Sport Coats,Men,Diesel,50,7311.57,17291.0,1,0.0196,50.0
Pants & Capris,Women,Trina Turk,50,5073.05,9414.39,5,0.0909,10.0
Suits & Sport Coats,Men,Mantoni,50,4359.61,10907.5,2,0.0385,25.0
Blazers & Jackets,Women,FactoryExtreme,50,4192.38,10776.0,5,0.0909,10.0
Sweaters,Men,Moods of Norway,50,3830.73,7980.0,7,0.1228,7.14
Fashion Hoodies & Sweatshirts,Men,Diamond Chain,50,2249.07,3859.5,6,0.1071,8.33
Tops & Tees,Women,Splendid,50,2166.57,3918.0,10,0.1667,5.0
Outerwear & Coats,Women,Miss Sixty,50,2141.31,5072.96,4,0.0741,12.5
Fashion Hoodies & Sweatshirts,Men,Tony Hawk,50,2126.23,4060.0,6,0.1071,8.33
Outerwear & Coats,Men,UltraClub,50,1876.6,4158.5,3,0.0566,16.67
Active,Women,SportHill,50,1862.9,4577.5,5,0.0909,10.0
Sweaters,Women,Polo Ralph Lauren,50,1783.15,3965.44,2,0.0385,25.0
Fashion Hoodies & Sweatshirts,Women,Alternative,50,1513.4,3135.22,5,0.0909,10.0
Accessories,Women,Klondike Sterling,50,1413.41,3317.9,3,0.0566,16.67
Intimates,Women,Yummie Tummie,50,1398.9,2556.52,5,0.0909,10.0
Plus,Women,Dickies,50,1214.78,2407.62,6,0.1071,8.33
Fashion Hoodies & Sweatshirts,Men,John Deere,50,1087.47,1934.7,9,0.1525,5.56
Jeans,Women,Bullhead,50,994.15,1912.31,3,0.0566,16.67
Sweaters,Women,Devon & Jones,50,944.69,2004.56,3,0.0566,16.67
Accessories,Men,Brixton,50,862.7,2005.63,1,0.0196,50.0
Underwear,Men,G-Star,50,852.5,1785.0,6,0.1071,8.33
Jeans,Men,UNIONBAY,50,816.41,1608.11,7,0.1228,7.14
Shorts,Women,Columbia,50,724.4,1487.75,5,0.0909,10.0
Fashion Hoodies & Sweatshirts,Women,HoodieBuddie,50,676.33,1463.77,5,0.0909,10.0
Shorts,Women,TEXTILE Elizabeth and James,50,659.7,1283.79,3,0.0566,16.67
Shorts,Men,Alfani,50,655.74,1261.94,3,0.0566,16.67
Accessories,Women,JiMarti,50,592.62,1429.5,3,0.0566,16.67
Maternity,Women,Fertile Mind,50,512.54,1172.5,3,0.0566,16.67
Socks,Men,American Apparel,50,287.9,462.0,2,0.0385,25.0
Socks & Hosiery,Women,Wheel House Designs,50,279.88,699.5,3,0.0566,16.67
Plus,Women,Greatlookz,50,94.15,183.82,2,0.0385,25.0
Accessories,Women,Tom Ford,49,4365.44,11312.82,4,0.0755,12.25
Outerwear & Coats,Men,MontBell,49,4010.54,9377.55,1,0.02,49.0
Sleep & Lounge,Women,Juicy Couture,49,3207.11,5412.0,3,0.0577,16.33
Outerwear & Coats,Men,Polo Ralph Lauren,49,2927.58,6669.42,1,0.02,49.0
Fashion Hoodies & Sweatshirts,Men,Tommy Bahama,49,2829.53,4867.2,1,0.02,49.0
Outerwear & Coats,Men,Quiksilver,49,2738.06,6174.0,3,0.0577,16.33
Suits & Sport Coats,Men,Alfani,49,2575.25,6975.1,3,0.0577,16.33
Dresses,Women,Alice & Trixie,49,2280.8,4962.75,5,0.0926,9.8
Sweaters,Men,Maglierie Di Perugia,49,2276.4,4703.51,6,0.1091,8.17
Sweaters,Men,CARRAIG DONN KNITWEAR,49,2242.09,4407.55,4,0.0755,12.25
Swim,Men,TRUNKS,49,1479.84,2341.81,4,0.0755,12.25
Jeans,Men,Walls,49,1361.67,2414.7,1,0.02,49.0
Sweaters,Men,MANGO,49,1321.77,2494.51,3,0.0577,16.33
Pants,Men,Altamont,49,1301.6,2856.1,2,0.0392,24.5
Fashion Hoodies & Sweatshirts,Women,Billabong,49,1267.37,2670.13,2,0.0392,24.5
Suits & Sport Coats,Men,G by GUESS,49,1015.22,2480.5,1,0.02,49.0
Fashion Hoodies & Sweatshirts,Women,TapouT,49,937.21,1879.32,6,0.1091,8.17
Sleep & Lounge,Men,Exotic India,49,883.08,2055.0,6,0.1091,8.17
Outerwear & Coats,Women,U.S. Polo Assn.,49,825.37,1881.51,4,0.0755,12.25
Tops & Tees,Women,Eddie Bauer,49,782.38,1348.83,3,0.0577,16.33
Shorts,Women,!it Jeans,49,502.89,1050.16,5,0.0926,9.8
Intimates,Women,PLATINUM INTIMATES,49,442.28,823.5,1,0.02,49.0
Shorts,Women,Hot Topic,49,440.78,882.72,3,0.0577,16.33
Socks,Men,Incrediwear,49,431.67,713.01,3,0.0577,16.33
Underwear,Men,Wickers,49,412.77,862.0,3,0.0577,16.33
Intimates,Women,Celina,49,343.16,647.51,4,0.0755,12.25
Active,Women,Fruit of the Loom,49,317.39,730.0,1,0.02,49.0
Accessories,Women,Alki'i,49,236.02,599.51,4,0.0755,12.25
Accessories,Women,MG,49,217.62,520.01,5,0.0926,9.8
Socks,Men,Extra Wide Sock Company,49,174.25,291.55,5,0.0926,9.8
Dresses,Women,Nicole Miller,48,6799.2,15079.81,3,0.0588,16.0
Fashion Hoodies & Sweatshirts,Women,Prairie Underground,48,6005.29,12732.0,4,0.0769,12.0
Blazers & Jackets,Women,Trina Turk,48,5057.73,13606.47,4,0.0769,12.0
Blazers & Jackets,Women,Yoana Baraschi,48,5006.32,13069.65,4,0.0769,12.0
Sweaters,Men,Faconnable,48,4755.96,9347.02,8,0.1429,6.0
Outerwear & Coats,Men,A:X Armani Exchange,48,3112.5,7336.0,5,0.0943,9.6
Clothing Sets,Women,Orvis,48,3076.05,4952.0,2,0.04,24.0
Tops & Tees,Men,7 Diamonds,48,2736.2,4904.18,6,0.1111,8.0
Leggings,Women,bebe,48,2535.78,4215.0,1,0.0204,48.0
Swim,Men,Zanerobe,48,1975.51,3322.0,1,0.0204,48.0
Intimates,Women,Va Bien,48,1620.7,2937.0,4,0.0769,12.0
Jeans,Men,Altamont,48,1514.99,2862.48,6,0.1111,8.0
Accessories,Women,Native Eyewear,48,1499.76,3931.4,3,0.0588,16.0
Shorts,Men,Polo Ralph Lauren,48,1439.41,2892.11,4,0.0769,12.0
Tops & Tees,Men,Billabong,48,1365.31,2414.95,4,0.0769,12.0
Pants,Men,Woolrich,48,1356.69,3042.0,4,0.0769,12.0
Intimates,Women,Gracya,48,1285.52,2370.8,2,0.04,24.0
Fashion Hoodies & Sweatshirts,Women,Carhartt,48,1266.69,2716.32,3,0.0588,16.0
Active,Men,Quiksilver,48,1259.81,2825.0,0,0.0,
Jeans,Men,O'Neill,48,1227.49,2364.64,3,0.0588,16.0
Sweaters,Women,O'Neill,48,1123.66,2523.64,7,0.1273,6.86
Tops & Tees,Men,Walking Dead,48,958.32,1591.71,3,0.0588,16.0
Fashion Hoodies & Sweatshirts,Men,YAGO,48,956.83,1790.08,6,0.1111,8.0
Fashion Hoodies & Sweatshirts,Women,Hot Topic,48,911.9,1924.0,6,0.1111,8.0
Tops & Tees,Women,ASICS,48,875.23,1661.13,3,0.0588,16.0
Swim,Men,Beach Rays,48,856.41,1479.86,4,0.0769,12.0
Socks,Men,Sugar Free Sox,48,842.16,1392.0,4,0.0769,12.0
Skirts,Women,Vince Camuto,48,816.42,2035.08,3,0.0588,16.0
Sleep & Lounge,Men,N2N Bodywear,48,782.32,1910.0,6,0.1111,8.0
Plus,Women,Cashmere Pashmina Group,48,728.06,1373.27,7,0.1273,6.86
Active,Men,Darn Tough,48,716.87,1712.6,1,0.0204,48.0
Tops & Tees,Men,ENDO Apparel,48,683.32,1200.0,2,0.04,24.0
Tops & Tees,Women,U.S. Polo Assn.,48,663.0,1200.0,2,0.04,24.0
Pants & Capris,Women,Dickies Girl,48,597.57,1117.61,2,0.04,24.0
Leggings,Women,Just One,48,579.07,952.77,3,0.0588,16.0
Accessories,Women,Cashmere Pashmina Group,48,558.88,1421.85,2,0.04,24.0
Maternity,Women,Underworks,48,553.3,1339.62,3,0.0588,16.0
Underwear,Men,Perry Ellis,48,542.25,1200.0,5,0.0943,9.6
Swim,Women,Ritchie Swimwear,48,505.33,1200.0,2,0.04,24.0
Skirts,Women,Ice,48,469.64,1194.52,8,0.1429,6.0
Socks,Men,Knocker,48,458.05,740.52,6,0.1111,8.0
Plus,Women,K. Bell,48,246.04,499.39,2,0.04,24.0
Dresses,Women,LnLClothing,48,172.84,383.52,5,0.0943,9.6
Socks & Hosiery,Women,Ed Hardy,48,167.68,435.52,3,0.0588,16.0
Swim,Women,Karla Colletto,47,5165.07,12165.6,2,0.0408,23.5
Suits & Sport Coats,Men,Club Room,47,3278.54,8414.62,1,0.0208,47.0
Pants,Men,Ballin,47,3173.12,7414.91,1,0.0208,47.0
Suits & Sport Coats,Men,Sean John,47,2662.8,6449.53,2,0.0408,23.5
Blazers & Jackets,Women,Ulla Popken,47,2372.05,6013.0,6,0.1132,7.83
Plus,Women,Carrera,47,1995.76,4044.86,1,0.0208,47.0
Maternity,Women,Annee Matthew,47,1969.44,4525.0,2,0.0408,23.5
Maternity,Women,PEZ Candy,47,1951.99,4227.32,2,0.0408,23.5
Sweaters,Women,Vince Camuto,47,1794.65,3892.6,4,0.0784,11.75
Fashion Hoodies & Sweatshirts,Men,Nomis,47,1700.67,3132.75,4,0.0784,11.75
Suits & Sport Coats,Men,LRG,47,1634.39,4169.0,3,0.06,15.67
Jeans,Women,Cruel Girl,47,1598.77,3026.53,5,0.0962,9.4
Accessories,Women,Carrera,47,1598.63,3871.4,2,0.0408,23.5
Swim,Men,Tommy Bahama,47,1496.61,2623.0,3,0.06,15.67
Jeans,Women,!it Jeans,47,1462.22,2777.21,1,0.0208,47.0
Shorts,Men,55DSL,47,1452.56,2872.5,1,0.0208,47.0
Active,Men,Helly Hansen,47,1451.65,3337.43,4,0.0784,11.75
Fashion Hoodies & Sweatshirts,Women,Crazyheads,47,1394.75,3004.53,3,0.06,15.67
Pants & Capris,Women,American Apparel,47,1289.94,2407.0,3,0.06,15.67
Shorts,Women,Jack,47,1157.68,2402.0,1,0.0208,47.0
Tops & Tees,Women,Chestnut Hill,47,1136.47,1997.53,3,0.06,15.67
Sweaters,Men,Ed Hardy,47,981.23,1879.53,4,0.0784,11.75
Shorts,Men,Famous Stars and Straps,47,937.34,1995.71,2,0.0408,23.5
Sleep & Lounge,Women,Of the Moment,47,700.13,1175.0,4,0.0784,11.75
Accessories,Women,SmartWool,47,615.05,1472.07,2,0.0408,23.5
Fashion Hoodies & Sweatshirts,Women,Gypsy Rose,47,609.89,1321.06,4,0.0784,11.75
Underwear,Men,Intymen,47,514.34,1091.5,5,0.0962,9.4
Plus,Women,180s,47,487.86,969.83,2,0.0408,23.5
Plus,Women,Buxton,47,463.25,903.38,2,0.0408,23.5
Socks & Hosiery,Women,Darn Tough,47,451.76,1171.53,1,0.0208,47.0
Socks & Hosiery,Women,FoxRiver,47,388.09,920.15,2,0.0408,23.5
Active,Women,Spalding,47,382.71,927.68,3,0.06,15.67
Accessories,Women,Greatlookz,47,149.99,348.89,3,0.06,15.67
Blazers & Jackets,Women,Rebecca Minkoff,46,5334.44,14341.84,6,0.1154,7.67
Dresses,Women,Prom21,46,3201.92,7394.0,7,0.1321,6.57
Pants,Men,Original Penguin,46,2106.79,4727.0,2,0.0417,23.0
Outerwear & Coats,Men,RVCA,46,2055.4,4477.0,1,0.0213,46.0
Blazers & Jackets,Women,Lauren by Ralph Lauren,46,2024.04,5280.19,2,0.0417,23.0
Underwear,Men,SmartWool,46,1870.04,3810.68,1,0.0213,46.0
Active,Men,Mountain Khakis,46,1695.95,4038.7,2,0.0417,23.0
Suits & Sport Coats,Men,Affazy,46,1602.78,3728.0,3,0.0612,15.33
Active,Men,Gold Toe,46,1533.51,3423.71,2,0.0417,23.0
Socks,Men,2XU,46,1349.75,2316.0,6,0.1154,7.67
Jeans,Men,Perry Ellis,46,1303.62,2333.6,3,0.0612,15.33
Fashion Hoodies & Sweatshirts,Women,Nike,46,1140.93,2264.17,3,0.0612,15.33
Tops & Tees,Men,Kenneth Cole REACTION,46,1100.13,1859.74,2,0.0417,23.0
Skirts,Women,Sutton Studio,46,1030.27,2726.64,3,0.0612,15.33
Fashion Hoodies & Sweatshirts,Men,Grenade,46,968.44,1771.83,3,0.0612,15.33
Fashion Hoodies & Sweatshirts,Men,On The Byas,46,957.44,1706.88,2,0.0417,23.0
Sweaters,Women,eloquii,46,675.94,1533.29,5,0.098,9.2
Socks,Men,NEFF,46,607.22,1019.11,2,0.0417,23.0
Tops & Tees,Men,Golds Gym,46,486.54,861.7,1,0.0213,46.0
Leggings,Women,LOCOMO Leggings,46,294.5,485.54,3,0.0612,15.33
Socks,Men,Allegra K,46,196.96,310.2,6,0.1154,7.67
