brand,category,department,units_sold,revenue,cost,gross_margin_dollars,gross_margin_rate
Tommy Hilfiger,Sleep & Lounge,Men,39,1650.94,672.79,978.15,0.5925
Jones New York,Shorts,Women,50,1949.06,971.39,977.67,0.5016
Zoot,Swim,Men,9,2474.91,1497.32,977.59,0.395
Alternative,Tops & Tees,Women,42,2223.86,1246.85,977.01,0.4393
Saxx,Underwear,Men,59,1822.88,845.98,976.9,0.5359
WESC,Fashion Hoodies & Sweatshirts,Men,30,2141.75,1167.09,974.66,0.4551
Caterpillar,Outerwear & Coats,Men,27,1728.03,755.57,972.46,0.5628
Carhartt,Shorts,Women,41,1886.19,914.09,972.1,0.5154
LRG,Shorts,Men,36,1985.78,1014.9,970.88,0.4889
CARRAIG DONN KNITWEAR,Sweaters,Men,22,1978.9,1008.34,970.56,0.4905
Native Eyewear,Accessories,Women,19,1563.37,596.23,967.14,0.6186
Maison Scotch,Outerwear & Coats,Women,7,1755.0,789.7,965.3,0.55
Tiana B,Dresses,Women,27,1753.35,788.16,965.19,0.5505
Dearfoams,Sleep & Lounge,Women,62,2288.8,1323.64,965.16,0.4217
Dolce & Gabbana,Accessories,Men,7,1701.0,736.53,964.47,0.567
Berek,Blazers & Jackets,Women,10,1599.9,636.12,963.78,0.6024
Victorinox,Suits & Sport Coats,Men,8,1579.92,616.17,963.75,0.61
Seven7,Jeans,Women,30,2095.0,1131.76,963.24,0.4598
Van Heusen,Sweaters,Men,60,1974.71,1013.24,961.47,0.4869
Prada,Plus,Women,10,1818.0,857.41,960.59,0.5284
Bench,Fashion Hoodies & Sweatshirts,Women,20,1904.0,943.9,960.1,0.5043
Cinema Etoile,Intimates,Women,65,2106.75,1149.0,957.75,0.4546
BIG STAR,Jeans,Men,21,2058.0,1100.74,957.26,0.4651
FINIS,Swim,Men,30,2399.7,1444.1,955.6,0.3982
adidas,Jumpsuits & Rompers,Women,6,2100.0,1144.5,955.5,0.455
Unicorn London,Outerwear & Coats,Men,4,1587.96,633.6,954.36,0.601
Natori,Intimates,Women,44,2086.41,1134.08,952.33,0.4564
BB Dakota,Dresses,Women,18,1691.0,738.69,952.31,0.5632
BGSD,Plus,Women,6,1919.94,967.65,952.29,0.496
Michael Kors,Underwear,Men,69,1805.32,856.56,948.76,0.5255
Twelfth Street by Cynthia Vincent,Dresses,Women,9,1755.0,809.05,945.95,0.539
Levi's,Outerwear & Coats,Women,38,1740.49,794.54,945.95,0.5435
ComfortWear,Intimates,Women,22,2070.12,1126.7,943.42,0.4557
Gypsy 05,Fashion Hoodies & Sweatshirts,Women,14,1771.0,828.3,942.7,0.5323
prAna,Outerwear & Coats,Women,13,1651.0,709.57,941.43,0.5702
66 North,Outerwear & Coats,Men,10,1599.9,659.16,940.74,0.588
Bullhead,Jeans,Men,42,2039.0,1098.53,940.47,0.4612
Harriton,Tops & Tees,Men,61,2105.33,1166.48,938.85,0.4459
G-Star,Tops & Tees,Men,35,2165.0,1226.25,938.75,0.4336
Joes Jeans,Jeans,Women,13,2031.0,1092.44,938.56,0.4621
Fruit of the Loom,Intimates,Women,136,1992.72,1054.43,938.29,0.4709
Medela,Maternity,Women,40,1692.4,756.47,935.93,0.553
Isotoner,Accessories,Men,57,1554.19,619.05,935.14,0.6017
Hatley,Sleep & Lounge,Women,67,2388.4,1453.69,934.71,0.3914
Cashmere Boutique,Sweaters,Men,15,1815.0,880.51,934.49,0.5149
CasualMale,Suits & Sport Coats,Men,9,1602.0,669.64,932.36,0.582
Kenneth Cole REACTION,Accessories,Men,69,1537.04,605.33,931.71,0.6062
7 For All Mankind,Maternity,Women,8,1584.0,656.57,927.43,0.5855
IZOD,Fashion Hoodies & Sweatshirts,Men,48,2084.62,1157.68,926.94,0.4447
Funktional,Outerwear & Coats,Women,4,1566.4,640.66,925.74,0.591
Chaus,Sweaters,Women,24,1672.2,747.02,925.18,0.5533
Metal Mulisha,Swim,Men,44,2267.0,1343.37,923.63,0.4074
Icebreaker,Tops & Tees,Men,22,2079.7,1157.92,921.78,0.4432
adidas,Tops & Tees,Men,30,2009.52,1088.13,921.39,0.4585
Bravado! Designs,Maternity,Women,38,1598.97,678.38,920.59,0.5757
L.A. Idol Jeans,Jeans,Women,29,1925.05,1005.57,919.48,0.4776
Anna-Kaci,Leggings,Women,142,2272.8,1354.14,918.66,0.4042
Girls4Sport,Swim,Women,32,1569.0,650.43,918.57,0.5854
eVogues Apparel,Plus,Women,53,1832.47,913.94,918.53,0.5013
Cashmere Boutique,Suits & Sport Coats,Men,8,1432.0,514.09,917.91,0.641
Allegra K,Pants & Capris,Women,157,1973.88,1057.0,916.88,0.4645
Ralph Lauren,Outerwear & Coats,Men,14,1662.81,746.24,916.57,0.5512
Stella Elyse,Leggings,Women,84,2363.16,1448.04,915.12,0.3872
Ralph Lauren,Fashion Hoodies & Sweatshirts,Men,14,1954.95,1041.2,913.75,0.4674
Hurley,Swim,Women,43,1603.27,690.64,912.63,0.5692
Wrangler,Pants,Men,40,1679.76,767.47,912.29,0.5431
FRYE,Accessories,Women,8,1584.0,674.78,909.22,0.574
Matix,Jeans,Men,27,1867.4,958.54,908.86,0.4867
Allegra K,Shorts,Men,125,1796.87,888.57,908.3,0.5055
Calvin Klein,Accessories,Men,50,1522.65,614.76,907.89,0.5963
Beauty Night,Intimates,Women,33,1990.37,1082.51,907.86,0.4561
G-Star,Pants & Capris,Women,17,1829.4,923.91,905.49,0.495
Alfred Dunner,Blazers & Jackets,Women,35,1472.59,568.25,904.34,0.6141
Diamond Chain,Fashion Hoodies & Sweatshirts,Men,28,2158.6,1254.47,904.13,0.4189
Carrera,Plus,Women,21,1801.31,897.82,903.49,0.5016
Carhartt,Accessories,Women,70,1508.51,605.18,903.33,0.5988
Hanes,Sleep & Lounge,Men,71,1546.41,643.21,903.2,0.5841
KingSize,Active,Men,31,1625.84,722.83,903.01,0.5554
Tony Hawk,Fashion Hoodies & Sweatshirts,Men,23,1885.0,983.08,901.92,0.4785
eVogues Apparel,Tops & Tees,Women,67,2061.33,1159.45,901.88,0.4375
Southpole,Shorts,Men,56,1804.93,903.84,901.09,0.4992
Hanes,Socks,Men,169,2270.03,1370.07,899.96,0.3965
Bjorn Borg,Underwear,Men,63,1680.63,780.97,899.66,0.5353
RVCA,Shorts,Men,40,1852.07,952.59,899.48,0.4857
SmartWool,Plus,Women,80,1798.45,899.44,899.01,0.4999
Salomon,Outerwear & Coats,Women,8,1639.92,742.04,897.88,0.5475
Outdoor Research,Active,Men,8,1560.0,664.56,895.44,0.574
Plenty by Tracy Reese,Tops & Tees,Women,11,2008.0,1116.73,891.27,0.4439
Woolrich,Pants,Men,26,1598.0,707.89,890.11,0.557
RVCA,Sweaters,Men,32,1778.66,888.65,890.01,0.5004
Rafaella,Pants & Capris,Women,47,1861.19,971.43,889.76,0.4781
DFDesigns,Sleep & Lounge,Men,58,1479.0,590.04,888.96,0.6011
Marc Ecko Cut & Sew,Fashion Hoodies & Sweatshirts,Men,31,1964.5,1075.84,888.66,0.4524
robesale,Sleep & Lounge,Men,38,1496.1,607.83,888.27,0.5937
Carrera,Accessories,Women,18,1512.8,625.3,887.5,0.5867
Citizens of Humanity,Jeans,Men,9,1837.0,951.04,885.96,0.4823
Key Industries,Jeans,Men,58,1800.9,915.12,885.78,0.4919
DKNYC,Outerwear & Coats,Women,5,1495.0,609.96,885.04,0.592
Lucky Brand,Sweaters,Women,20,1621.91,737.52,884.39,0.5453
Sons Of Anarchy,Tops & Tees,Men,65,2087.31,1203.64,883.67,0.4234
Tolani,Maternity,Women,13,1592.06,708.46,883.6,0.555
Scott James,Sweaters,Men,11,1628.0,745.62,882.38,0.542
Toddland,Pants,Men,29,1682.0,799.65,882.35,0.5246
Xport Designs,Outerwear & Coats,Women,10,1729.9,848.64,881.26,0.5094
SmartWool,Underwear,Men,22,1733.87,854.02,879.85,0.5074
Nautica,Underwear,Men,72,1688.95,809.93,879.02,0.5205
Landing Leathers,Outerwear & Coats,Men,9,1619.91,741.92,877.99,0.542
phistic,Outerwear & Coats,Women,8,1559.92,684.34,875.58,0.5613
QSW,Fashion Hoodies & Sweatshirts,Women,16,1608.0,732.97,875.03,0.5442
Tri-Mountain,Tops & Tees,Men,60,2000.4,1126.02,874.38,0.4371
Blarney Woollen Mills,Sweaters,Men,17,1805.0,931.18,873.82,0.4841
VIPARO,Skirts,Women,8,1519.6,645.83,873.77,0.575
AGB,Dresses,Women,24,1592.92,719.46,873.46,0.5483
Joseph Abboud,Sleep & Lounge,Men,40,1435.23,562.17,873.06,0.6083
Dosh,Accessories,Men,23,1463.0,591.38,871.62,0.5958
Kuhl,Outerwear & Coats,Women,15,1604.7,733.72,870.98,0.5428
Calvin Klein Jeans,Fashion Hoodies & Sweatshirts,Men,22,1863.79,993.26,870.53,0.4671
G-Star,Shorts,Men,15,1860.0,989.82,870.18,0.4678
Jerzees,Active,Men,50,1520.43,650.83,869.6,0.5719
Devon & Jones,Tops & Tees,Women,67,1987.86,1118.98,868.88,0.4371
Anna-Kaci,Fashion Hoodies & Sweatshirts,Women,53,1680.7,814.64,866.06,0.5153
Dockers,Shorts,Men,40,1667.75,802.84,864.91,0.5186
Arc'teryx,Active,Women,8,1530.0,666.35,863.65,0.5645
Ed Garments,Shorts,Women,47,1754.53,891.25,863.28,0.492
Carhartt,Sweaters,Women,17,1520.83,658.24,862.59,0.5672
LRG,Suits & Sport Coats,Men,16,1416.0,554.56,861.44,0.6084
Hilary Radley,Outerwear & Coats,Women,17,1624.19,763.97,860.22,0.5296
Danskin,Active,Women,60,1524.51,664.33,860.18,0.5642
Jones New York,Tops & Tees,Women,25,1939.68,1080.21,859.47,0.4431
Stormy Kromer,Pants,Men,9,1679.55,820.34,859.21,0.5116
Quiksilver,Active,Men,26,1546.5,688.45,858.05,0.5548
Warner's,Intimates,Women,87,1830.72,973.0,857.72,0.4685
Ralph Lauren,Swim,Men,30,2265.0,1407.55,857.45,0.3786
MAXSTUDIO,Pants & Capris,Women,18,1788.0,931.22,856.78,0.4792
Louis Raphael,Suits & Sport Coats,Men,9,1499.91,643.16,856.75,0.5712
Karen Kane,Pants & Capris,Women,33,1784.16,928.43,855.73,0.4796
Affazy,Suits & Sport Coats,Men,18,1504.0,650.06,853.94,0.5678
Glamorise,Plus,Women,40,1691.61,839.1,852.51,0.504
Darn Tough,Socks,Men,66,2105.51,1256.33,849.18,0.4033
ExOfficio,Outerwear & Coats,Women,8,1489.85,641.49,848.36,0.5694
Helly Hansen,Active,Men,22,1500.43,652.64,847.79,0.565
Craghoppers,Outerwear & Coats,Men,6,1500.0,652.5,847.5,0.565
Lee,Pants & Capris,Women,53,1786.93,939.76,847.17,0.4741
Turkishtowels,Sleep & Lounge,Men,16,1449.84,602.88,846.96,0.5842
Ibex,Active,Men,13,1435.0,588.57,846.43,0.5899
Kawasaki,Fashion Hoodies & Sweatshirts,Men,39,1956.05,1112.74,843.31,0.4311
ANSAI,Outerwear & Coats,Men,9,1439.85,596.58,843.27,0.5857
INDERA THERMALS,Underwear,Men,98,1583.13,740.09,843.04,0.5325
Splendid,Tops & Tees,Women,24,1890.0,1047.38,842.62,0.4458
SportHill,Active,Women,16,1409.9,568.08,841.82,0.5971
Levi's,Shorts,Women,57,1646.72,805.95,840.77,0.5106
D.E.P.T.,Outerwear & Coats,Women,11,1627.7,787.69,840.01,0.5161
Flying Tomato,Pants & Capris,Women,39,1785.0,945.42,839.58,0.4704
Anna-Kaci,Intimates,Women,89,1789.1,950.6,838.5,0.4687
District Threads,Fashion Hoodies & Sweatshirts,Men,48,1802.94,964.73,838.21,0.4649
United Face,Outerwear & Coats,Men,6,1414.0,576.51,837.49,0.5923
Mundo Unico,Underwear,Men,66,1580.0,742.84,837.16,0.5298
Tommy Bahama,Jeans,Men,16,1798.0,961.55,836.45,0.4652
Myne,Tops & Tees,Women,11,1892.0,1055.74,836.26,0.442
Harley-Davidson,Outerwear & Coats,Men,12,1569.4,733.77,835.63,0.5325
Anne Klein,Tops & Tees,Women,26,1992.85,1157.6,835.25,0.4191
Giada Forte,Skirts,Women,6,1362.0,527.09,834.91,0.613
Polo Ralph Lauren,Socks,Men,85,2050.47,1216.02,834.45,0.407
ASICS,Active,Men,42,1449.14,615.05,834.09,0.5756
Calvin Klein Jeans,Shorts,Men,25,1602.09,769.13,832.96,0.5199
Belabumbum,Maternity,Women,22,1464.0,632.87,831.13,0.5677
Mermaid Maternity,Maternity,Women,27,1491.0,660.29,830.71,0.5572
Xtreme Couture,Jeans,Men,39,1753.4,923.5,829.9,0.4733
Womama,Maternity,Women,25,1509.75,680.49,829.26,0.5493
MW,Swim,Women,32,1449.68,620.89,828.79,0.5717
7 For All Mankind,Shorts,Men,18,1708.6,880.36,828.24,0.4847
Tri-Mountain,Active,Men,26,1353.74,529.21,824.53,0.6091
Alpinestars,Swim,Men,37,2050.62,1226.64,823.98,0.4018
Rampage,Intimates,Women,76,1707.04,883.51,823.53,0.4824
Ingrid & Isabel,Maternity,Women,28,1484.95,661.8,823.15,0.5543
Ralph Lauren,Fashion Hoodies & Sweatshirts,Women,16,1547.39,726.29,821.1,0.5306
bebe,Dresses,Women,14,1482.0,661.46,820.54,0.5537
Volcom,Outerwear & Coats,Women,16,1490.35,669.9,820.45,0.5505
Eddie Bauer,Tops & Tees,Men,51,1920.97,1101.3,819.67,0.4267
Ed Hardy,Underwear,Men,100,1538.03,719.51,818.52,0.5322
Private Label,Sleep & Lounge,Men,50,1370.22,552.01,818.21,0.5971
Polo Ralph Lauren,Sweaters,Women,19,1503.08,686.42,816.66,0.5433
TEXTILE Elizabeth and James,Jeans,Women,9,1814.0,998.9,815.1,0.4493
True Religion,Tops & Tees,Men,22,1921.73,1108.12,813.61,0.4234
Carve Designs,Swim,Women,30,1439.9,626.64,813.26,0.5648
Sanctuary,Jeans,Women,18,1842.0,1029.61,812.39,0.441
Tommy Bahama,Fashion Hoodies & Sweatshirts,Men,20,1934.2,1122.27,811.93,0.4198
NuBra,Intimates,Women,49,1727.27,915.77,811.5,0.4698
Orvis,Outerwear & Coats,Men,6,1350.0,538.65,811.35,0.601
Lamaze,Maternity,Women,63,1473.0,662.71,810.29,0.5501
Klymit,Sweaters,Men,8,1639.6,832.92,806.68,0.492
Necessary Evil,Outerwear & Coats,Men,9,1439.91,633.56,806.35,0.56
Lilo Maternity,Maternity,Women,35,1416.31,610.65,805.66,0.5688
Luxury Divas,Accessories,Women,84,1335.26,530.67,804.59,0.6026
Holden,Sweaters,Men,9,1619.55,816.25,803.3,0.496
Charles River Apparel,Outerwear & Coats,Men,37,1459.6,659.57,800.03,0.5481
Popsi Lingerie,Intimates,Women,65,1756.45,957.93,798.52,0.4546
Nasty Pig,Jeans,Men,12,1739.4,940.99,798.41,0.459
Cubavera,Pants,Men,29,1496.82,701.51,795.31,0.5313
Roma Costume,Intimates,Women,83,1667.21,871.9,795.31,0.477
G-Star,Fashion Hoodies & Sweatshirts,Men,15,1800.0,1005.3,794.7,0.4415
AG Adriano Goldschmied,Tops & Tees,Men,17,1824.31,1030.65,793.66,0.435
Sierra Designs,Outerwear & Coats,Women,11,1468.47,674.9,793.57,0.5404
Isaac Mizrahi Jeans,Sweaters,Women,15,1387.5,594.03,793.47,0.5719
Red Carter,Swim,Women,6,1440.0,646.56,793.44,0.551
Scala,Accessories,Men,16,1350.38,557.02,793.36,0.5875
Twelfth Street by Cynthia Vincent,Tops & Tees,Women,6,1650.0,858.0,792.0,0.48
Wilt,Tops & Tees,Women,16,1821.6,1030.08,791.52,0.4345
Icebreaker,Tops & Tees,Women,18,1829.78,1039.14,790.64,0.4321
Outdoor Research,Accessories,Women,42,1349.63,560.16,789.47,0.585
K. Bell,Socks & Hosiery,Women,101,1331.3,542.27,789.03,0.5927
BCBGMAXAZRIA,Tops & Tees,Women,14,1747.0,959.43,787.57,0.4508
Charles River Apparel,Outerwear & Coats,Women,29,1476.26,689.51,786.75,0.5329
Eddie Bauer,Jeans,Men,27,1753.65,967.63,786.02,0.4482
Paul Frank,Sleep & Lounge,Women,72,2023.96,1238.33,785.63,0.3882
HUGO BOSS,Socks,Men,167,1985.28,1199.97,785.31,0.3956
Anne Klein,Socks & Hosiery,Women,61,1331.84,546.68,785.16,0.5895
Dockers,Sleep & Lounge,Men,41,1308.64,523.68,784.96,0.5998
MJ Soffe,Active,Men,59,1363.97,580.92,783.05,0.5741
Anita,Intimates,Women,27,1681.5,898.8,782.7,0.4655
Tri-Mountain,Outerwear & Coats,Women,26,1439.26,657.55,781.71,0.5431
Wallflower,Jeans,Women,67,1723.34,942.82,780.52,0.4529
Altamont,Jeans,Men,28,1663.08,884.4,778.68,0.4682
Tasso Elba,Sweaters,Men,30,1527.92,749.77,778.15,0.5093
Joe's Jeans,Maternity,Women,7,1334.0,556.97,777.03,0.5825
Howe,Pants,Men,18,1536.18,759.71,776.47,0.5055
Playtex,Plus,Women,41,1566.76,795.03,771.73,0.4926
180s,Accessories,Men,59,1326.94,555.97,770.97,0.581
Outerwears,Outerwear & Coats,Women,20,1399.8,629.21,770.59,0.5505
Vx Intimate Inc,Intimates,Women,52,1625.4,855.69,769.71,0.4736
Southpole,Jeans,Men,40,1675.81,908.77,767.04,0.4577
Shock Absorber,Active,Women,20,1320.0,555.35,764.65,0.5793
Wigwam,Active,Men,82,1303.3,539.04,764.26,0.5864
Eddie Bauer,Pants,Men,16,1376.35,614.67,761.68,0.5534
Reef,Shorts,Men,34,1605.19,844.45,760.74,0.4739
Farr West,Intimates,Women,39,1619.33,859.93,759.4,0.469
Lilla P,Dresses,Women,7,1442.0,683.51,758.49,0.526
Retrofit,Sweaters,Men,48,1533.8,775.36,758.44,0.4945
Canyon Ridge,Shorts,Men,45,1534.75,776.6,758.15,0.494
SleepytimePjs,Sleep & Lounge,Women,37,1990.15,1232.04,758.11,0.3809
Marc Ecko,Suits & Sport Coats,Men,16,1244.94,486.97,757.97,0.6088
Union Jeans,Jeans,Men,16,1774.0,1016.05,757.95,0.4273
Nike,Tops & Tees,Men,36,1765.48,1007.91,757.57,0.4291
Lacoste,Fashion Hoodies & Sweatshirts,Men,10,1700.1,943.22,756.88,0.4452
IGIGI by Yuliya Raquel,Dresses,Women,4,1300.0,544.7,755.3,0.581
Geoffrey Beene,Suits & Sport Coats,Men,12,1263.12,508.2,754.92,0.5977
SmartWool,Outerwear & Coats,Women,7,1400.0,646.8,753.2,0.538
U.S. Polo Assn.,Outerwear & Coats,Men,29,1344.74,592.58,752.16,0.5593
Crazyheads,Fashion Hoodies & Sweatshirts,Women,22,1394.78,642.68,752.1,0.5392
Dickies,Outerwear & Coats,Women,28,1362.87,610.84,752.03,0.5518
Evanese,Dresses,Women,12,1259.95,508.18,751.77,0.5967
Black Market-Lowbrow,Fashion Hoodies & Sweatshirts,Women,27,1393.65,642.38,751.27,0.5391
Braza,Intimates,Women,150,1627.26,876.5,750.76,0.4614
Munki Munki,Sleep & Lounge,Women,21,1848.0,1097.98,750.02,0.4059
Mammut,Outerwear & Coats,Men,4,1319.96,570.22,749.74,0.568
Moving Comfort,Intimates,Women,35,1607.88,858.26,749.62,0.4662
Faconnable,Pants,Men,8,1350.0,600.75,749.25,0.555
Columbia,Plus,Women,22,1486.07,739.29,746.78,0.5025
UltraClub,Tops & Tees,Men,42,1702.06,956.21,745.85,0.4382
DC,Jeans,Men,23,1558.5,813.37,745.13,0.4781
Antique Rivet,Sweaters,Men,10,1450.0,706.15,743.85,0.513
DREAMS,Plus,Women,50,1488.5,744.76,743.74,0.4997
ExOfficio,Pants,Men,15,1361.0,618.14,742.86,0.5458
Columbia,Tops & Tees,Women,32,1644.87,902.07,742.8,0.4516
DC,Suits & Sport Coats,Men,12,1181.5,438.83,742.67,0.6286
McGinn,Shorts,Women,12,1419.96,677.68,742.28,0.5227
Matix,Fashion Hoodies & Sweatshirts,Men,26,1623.0,881.55,741.45,0.4568
Cluny,Skirts,Women,5,1240.0,499.72,740.28,0.597
Oak Hill,Suits & Sport Coats,Men,10,1185.0,446.51,738.49,0.6232
Democracy,Jeans,Women,24,1652.0,913.8,738.2,0.4468
Adriana,Intimates,Women,47,1621.65,884.25,737.4,0.4547
G by GUESS,Jeans,Women,34,1658.0,921.15,736.85,0.4444
Hot Topic,Jeans,Women,48,1619.76,884.81,734.95,0.4537
Calvin Klein Performance,Active,Women,19,1226.74,492.46,734.28,0.5986
Helly Hansen,Active,Women,14,1208.0,473.89,734.11,0.6077
Calvin Klein Jeans,Blazers & Jackets,Women,14,1137.45,404.41,733.04,0.6445
Fleur Of England,Intimates,Women,6,1593.12,860.28,732.84,0.46
Shoshanna,Swim,Women,8,1293.75,561.41,732.34,0.5661
Champion,Tops & Tees,Men,58,1599.68,869.22,730.46,0.4566
Allegra K,Leggings,Women,187,1805.05,1076.52,728.53,0.4036
Silver Edition,Suits & Sport Coats,Men,12,1169.95,441.61,728.34,0.6225
Volcom,Jeans,Women,22,1530.3,802.34,727.96,0.4757
Vince Camuto,Pants & Capris,Women,22,1566.58,838.7,727.88,0.4646
Besame,Intimates,Women,40,1601.98,875.06,726.92,0.4538
Ella Moss,Dresses,Women,5,1240.0,513.36,726.64,0.586
Intimo,Sleep & Lounge,Women,60,1830.8,1104.27,726.53,0.3968
Woolrich,Shorts,Men,29,1429.0,704.48,724.52,0.507
IZOD,Outerwear & Coats,Men,17,1279.83,556.41,723.42,0.5653
Maple Clothing,Sleep & Lounge,Men,19,1217.4,494.04,723.36,0.5942
Diesel,Accessories,Men,15,1178.97,456.4,722.57,0.6129
Kuhl,Sweaters,Men,14,1380.0,657.52,722.48,0.5235
Just Sexy,Intimates,Women,44,1521.66,800.26,721.4,0.4741
Only Hearts,Pants & Capris,Women,16,1402.08,681.19,720.89,0.5142
Timberland,Accessories,Men,47,1194.14,473.61,720.53,0.6034
Haggar,Sweaters,Men,34,1428.0,708.46,719.54,0.5039
Perry Ellis,Accessories,Men,41,1169.65,450.22,719.43,0.6151
Nomis,Fashion Hoodies & Sweatshirts,Men,24,1564.86,846.52,718.34,0.459
Pendleton,Outerwear & Coats,Women,4,1400.0,681.8,718.2,0.513
CW-X,Active,Men,11,1175.0,457.32,717.68,0.6108
laundry by SHELLI SEGAL,Swim,Women,9,1302.0,584.53,717.47,0.5511
Ted Baker,Swim,Men,33,1881.69,1164.53,717.16,0.3811
Woman Within,Jeans,Women,47,1549.53,832.88,716.65,0.4625
Squeem Magical Lingerie,Intimates,Women,19,1477.98,762.23,715.75,0.4843
Cianni,Pants,Men,26,1298.7,584.66,714.04,0.5498
Intimo,Underwear,Men,47,1335.8,624.05,711.75,0.5328
Oak Hill,Pants,Men,24,1339.9,628.64,711.26,0.5308
John Varvatos,Pants,Men,8,1359.92,648.68,711.24,0.523
Hanes,Tops & Tees,Men,80,1630.12,919.3,710.82,0.4361
Royal Silk,Underwear,Men,33,1280.0,569.27,710.73,0.5553
Yelete,Leggings,Women,107,1750.24,1039.6,710.64,0.406
UltraClub,Outerwear & Coats,Men,17,1287.83,577.79,710.04,0.5513
Cluny,Dresses,Women,5,1290.0,580.5,709.5,0.55
Burnside,Swim,Men,59,1809.04,1100.18,708.86,0.3918
Spyder,Outerwear & Coats,Women,2,1300.0,591.5,708.5,0.545
Alternative,Fashion Hoodies & Sweatshirts,Women,21,1363.11,654.79,708.32,0.5196
Sutton Studio,Skirts,Women,19,1140.19,432.18,708.01,0.621
Ralph Lauren,Blazers & Jackets,Women,6,1109.94,402.25,707.69,0.6376
Carhartt,Jeans,Women,29,1565.95,858.41,707.54,0.4518
Leonisa,Intimates,Women,30,1585.0,877.48,707.52,0.4464
Russell Athletic,Active,Women,47,1189.35,482.94,706.41,0.594
DAVID Seeds,Leggings,Women,20,1878.9,1173.44,705.46,0.3755
J BRAND,Pants & Capris,Women,7,1492.0,787.53,704.47,0.4722
Ardyss,Intimates,Women,16,1506.0,802.34,703.66,0.4672
Calvin Klein,Swim,Men,26,1699.0,995.39,703.61,0.4141
DL1961,Shorts,Women,16,1421.0,718.09,702.91,0.4947
Krazy,Pants & Capris,Women,11,1475.0,773.05,701.95,0.4759
Calvin Klein,Socks,Men,85,1769.49,1069.6,699.89,0.3955
55DSL,Shorts,Men,23,1406.25,706.52,699.73,0.4976
[BLANKNYC],Shorts,Women,29,1410.04,711.07,698.97,0.4957
Profile,Swim,Women,15,1205.42,507.07,698.35,0.5793
Harbor Bay,Underwear,Men,56,1324.0,626.51,697.49,0.5268
Abercrombie & Fitch,Sweaters,Men,13,1404.0,706.97,697.03,0.4965
Oscar de la Renta,Intimates,Women,26,1466.81,770.45,696.36,0.4747
2b by bebe,Shorts,Women,49,1437.55,741.21,696.34,0.4844
Nantucket Brand,Sweaters,Men,7,1365.0,668.85,696.15,0.51
FMF,Fashion Hoodies & Sweatshirts,Men,37,1631.16,935.32,695.84,0.4266
Silver Jeans,Shorts,Women,30,1389.72,694.1,695.62,0.5005
Lucky Brand,Underwear,Men,51,1286.26,590.73,695.53,0.5407
Lilly Pulitzer,Sweaters,Women,8,1184.0,488.55,695.45,0.5874
Fila,Sweaters,Men,16,1369.3,675.66,693.64,0.5066
Jordan,Socks,Men,2,1806.0,1114.3,691.7,0.383
Members Only,Outerwear & Coats,Men,12,1291.0,600.25,690.75,0.5351
Ecko Unltd.,Fashion Hoodies & Sweatshirts,Men,34,1485.77,795.79,689.98,0.4644
Debbie Katz South Beach,Swim,Women,11,1238.0,549.92,688.08,0.5558
AIRBLASTER,Intimates,Women,10,1599.5,911.71,687.78,0.43
Calvin Klein Jeans,Tops & Tees,Women,30,1597.42,910.33,687.09,0.4301
O'Neill,Swim,Women,33,1186.38,499.45,686.93,0.579
Club Room,Sweaters,Men,19,1353.4,666.78,686.62,0.5073
D&G Dolce & Gabbana,Blazers & Jackets,Women,8,1044.0,358.09,685.91,0.657
Harriton,Outerwear & Coats,Men,34,1243.85,558.71,685.14,0.5508
Karen Kane,Tops & Tees,Women,16,1513.0,827.98,685.02,0.4528
Longitude,Swim,Women,23,1174.77,490.25,684.52,0.5827
Vince Camuto,Tops & Tees,Women,17,1473.0,788.54,684.46,0.4647
Mod-O-Doc,Outerwear & Coats,Women,7,1190.0,505.75,684.25,0.575
HQ ISSUE,Outerwear & Coats,Men,19,1139.81,457.12,682.69,0.5989
Volcom,Active,Men,22,1157.8,475.2,682.6,0.5896
Spiewak,Suits & Sport Coats,Men,4,1128.0,445.56,682.44,0.605
Panache,Maternity,Women,21,1239.0,556.72,682.28,0.5507
Savane,Shorts,Men,51,1346.57,665.16,681.41,0.506
Vitamin A,Swim,Women,10,1111.0,430.08,680.92,0.6129
DC,Shorts,Women,33,1341.92,661.44,680.48,0.5071
Betsey Johnson,Sleep & Lounge,Women,28,1662.93,982.81,680.12,0.409
DC,Accessories,Men,34,1101.05,421.06,679.99,0.6176
Gore,Active,Women,8,1279.92,600.28,679.64,0.531
Levi's,Plus,Women,32,1343.75,665.08,678.67,0.5051
Leo & Nicole,Sweaters,Women,14,1232.0,553.52,678.48,0.5507
DC,Outerwear & Coats,Women,9,1250.0,571.87,678.13,0.5425
C-Panty,Maternity,Women,18,1199.44,522.36,677.08,0.5645
Allegra K,Outerwear & Coats,Women,54,1206.33,529.63,676.7,0.561
WESC,Pants,Men,16,1244.45,568.3,676.15,0.5433
Neon Buddha,Outerwear & Coats,Women,9,1161.0,484.86,676.14,0.5824
G-Star,Outerwear & Coats,Men,6,1220.0,544.16,675.84,0.554
FEA,Tops & Tees,Men,76,1560.47,885.0,675.47,0.4329
Fred Perry,Suits & Sport Coats,Men,6,1134.0,459.27,674.73,0.595
Walls,Outerwear & Coats,Men,27,1224.22,550.35,673.87,0.5505
Tommy Hilfiger,Pants,Men,17,1208.73,535.15,673.58,0.5573
