brand,category,department,units_sold_90d,sales_dollars_90d,inventory_units,inventory_cost,unit_cover_ratio,action_flag
True Religion,Tops & Tees,Men,5,479.97000122070312,50,2827.6976253616413,10,Markdown Risk
Baby Be Mine,Maternity,Women,9,479.90999794006348,86,1907.0440259004229,9.56,Markdown Risk
Merrell,Active,Women,2,479.82000732421869,12,1283.9983462918924,6,Markdown Risk
Outdoor Research,Outerwear & Coats,Women,2,478.95001220703125,36,3524.1105332026996,18,Markdown Risk
Ed Hardy,Fashion Hoodies & Sweatshirts,Women,11,478.950008392334,178,3723.3094489850741,16.18,Margin Watch
EAGLE,Tops & Tees,Men,11,478.44001388549805,69,1630.3368985190823,6.27,Margin Watch
HUE,Socks & Hosiery,Women,41,478.30999898910522,474,2287.9202855480034,11.56,Hold
Mycra Pac,Outerwear & Coats,Women,2,478,30,3313.2779929451644,15,Markdown Risk
Zimmerli of Switzerland,Sleep & Lounge,Men,2,478,18,1750.91399451904,9,Markdown Risk
KingSize,Pants,Men,9,477.21000289916992,94,2415.9614176328355,10.44,Markdown Risk
Scotch & Soda,Suits & Sport Coats,Men,2,475,66,6102.5349773559719,33,Markdown Risk
Anne Klein,Tops & Tees,Women,7,474.85000228881836,60,2653.9950073522582,8.57,Markdown Risk
Thorlo,Active,Men,19,474.6500072479248,219,2211.3695851916882,11.53,Margin Watch
UltraClub,Fashion Hoodies & Sweatshirts,Men,8,472.54000854492188,72,2145.2615711867052,9,Markdown Risk
Scala,Accessories,Men,5,471.49999237060547,47,1844.7852618567715,9.4,Markdown Risk
Leonisa,Intimates,Women,10,470,82,2371.7749989940785,8.2,Margin Watch
Ibex,Tops & Tees,Men,4,470,48,2919.4749979488552,12,Markdown Risk
Mountain Hardwear,Sweaters,Men,3,470,37,2580.1400052756067,12.33,Markdown Risk
Match,Shorts,Men,11,469.89001846313477,144,2997.4425282174557,13.09,Margin Watch
SportHill,Active,Women,4,469.84999084472656,46,1788.6135869492537,11.5,Markdown Risk
Banana Republic,Sweaters,Men,9,469.71000671386719,148,3971.6039053654504,16.44,Markdown Risk
Arianne,Intimates,Women,11,468.67000007629395,147,3317.8057520577181,13.36,Margin Watch
Kenneth Cole,Outerwear & Coats,Women,5,467.09999084472656,110,6790.086020849647,22,Markdown Risk
BCBGMAXAZRIA,Sweaters,Women,4,466.46000671386719,25,1360.6029452621199,6.25,Markdown Risk
Jockey,Sleep & Lounge,Men,14,466,81,1103.7799964528531,5.79,Margin Watch
Lucky Brand,Shorts,Women,7,465.44000244140625,102,2955.9154910395882,14.57,Markdown Risk
stonepowerss,Fashion Hoodies & Sweatshirts,Women,9,464.550006866455,135,3304.18235182053,15,Markdown Risk
Carrera,Accessories,Men,6,464.25,87,2782.0401056628834,14.5,Markdown Risk
Ed Hardy,Sleep & Lounge,Men,18,464.10999870300293,198,2291.9484495170718,11,Margin Watch
Hanro,Sleep & Lounge,Women,5,464,94,6193.0460212300532,18.8,Markdown Risk
Woolrich,Tops & Tees,Men,7,463.97000122070312,122,4058.0461638447168,17.43,Markdown Risk
eVogues Apparel,Dresses,Women,12,462.88002014160156,114,1918.1143504604734,9.5,Margin Watch
Body Glove,Swim,Men,11,462.40999984741211,151,4243.31027027698,13.73,Margin Watch
Black Market-Lowbrow,Fashion Hoodies & Sweatshirts,Women,9,461.550006866455,103,2505.3811910240606,11.44,Markdown Risk
Hard Tail,Leggings,Women,7,461,79,3164.064011733979,11.29,Markdown Risk
Ariat,Jeans,Men,6,459.22999572753906,85,3668.4070088097355,14.17,Markdown Risk
Calvin Klein,Sleep & Lounge,Women,11,458.95000076293945,162,4397.6562740888257,14.73,Margin Watch
American Apparel,Fashion Hoodies & Sweatshirts,Women,10,456.9900016784668,204,4144.7940626101536,20.4,Margin Watch
Vanity Fair,Plus,Women,18,456.6400032043457,198,3009.2884231733033,11,Margin Watch
GUESS by Marciano,Jumpsuits & Rompers,Women,2,456,9,1081.4039985705167,4.5,Markdown Risk
Letarte,Swim,Women,2,456,12,1106.2760047535412,6,Markdown Risk
Carrera,Accessories,Women,5,455.83999633789068,71,2642.3928469739558,14.2,Markdown Risk
Wrightsock,Socks,Men,21,455.35000228881836,214,3276.2818411703834,10.19,Hold
Dearfoams,Sleep & Lounge,Women,12,455,106,2298.4668057717654,8.83,Margin Watch
A:X Armani Exchange,Tops & Tees,Men,11,455,187,4427.0319873131812,17,Margin Watch
Caterpillar,Outerwear & Coats,Men,7,454.43001174926758,43,1140.8925300089911,6.14,Markdown Risk
Retrofit,Fashion Hoodies & Sweatshirts,Men,16,454.42000198364258,213,3470.3424272001243,13.31,Margin Watch
Saxx,Underwear,Men,15,453.66000366210938,138,1958.0291284525215,9.2,Margin Watch
Touch of Europe Flannel Pants,Sleep & Lounge,Men,17,452.82999610900879,166,1694.5884883584868,9.76,Margin Watch
Kensie,Dresses,Women,4,452,48,2080.3206297005345,12,Markdown Risk
Calvin Klein Jeans,Shorts,Men,7,451.76000213623047,67,1999.6584078505855,9.57,Markdown Risk
Calvin Klein Jeans,Outerwear & Coats,Men,2,451,43,3217.1995107941329,21.5,Markdown Risk
Canada Goose,Accessories,Men,2,450,11,1037.0249947998673,5.5,Markdown Risk
Joseph Abboud,Pants,Men,5,449.94998931884766,50,2162.0972786379684,10,Markdown Risk
Ilusion,Intimates,Women,39,448.98998928070068,486,3082.2303963982276,12.46,Hold
Bella,Tops & Tees,Women,19,448.44000053405762,223,3077.6334259198343,11.74,Margin Watch
District Threads,Fashion Hoodies & Sweatshirts,Women,13,448.43000602722168,210,3197.7339582717441,16.15,Margin Watch
Cole Haan,Outerwear & Coats,Women,2,448.19000244140625,20,2282.6226364646709,10,Markdown Risk
DAVID Seeds,Leggings,Women,5,448.12999725341797,90,5200.825383355741,18,Markdown Risk
VILEBREQUIN,Swim,Men,3,447.99000549316406,20,1788.081821371683,6.67,Markdown Risk
Costa Del Mar,Accessories,Women,2,447.94999694824219,32,2946.7499580366989,16,Markdown Risk
Billabong,Shorts,Men,9,447.20000457763672,82,2046.4810145392612,9.11,Markdown Risk
Authentic Pigment,Active,Men,7,444.43001174926758,28,810.17995412471635,4,Markdown Risk
Everly Grey,Maternity,Women,7,444,110,2938.8130103608128,15.71,Markdown Risk
Nautica,Sleep & Lounge,Women,15,443.3700008392334,262,4755.5466043704919,17.47,Margin Watch
Kristen Blake,Outerwear & Coats,Women,3,443.33999633789062,33,2010.1157711310498,11,Markdown Risk
Wrangler,Tops & Tees,Men,13,443.30000305175781,220,4140.1600751722754,16.92,Margin Watch
Only Hearts,Skirts,Women,6,441.67000198364258,78,1927.7957419976208,13,Markdown Risk
Hanes,Intimates,Women,35,440.86999702453613,575,4040.4177548522562,16.43,Hold
RVCA,Fashion Hoodies & Sweatshirts,Men,8,440.40000152587891,125,3736.2042133370073,15.63,Markdown Risk
Schaefer Outfitters,Outerwear & Coats,Men,2,440,7,713.02000213414431,3.5,Markdown Risk
Sean John,Suits & Sport Coats,Men,2,439.98001098632818,56,3434.2892884479829,28,Markdown Risk
ExOfficio,Active,Men,8,439,222,4790.5539743803374,27.75,Markdown Risk
Vintage,Outerwear & Coats,Men,4,438.90000534057617,44,2364.13638065358,11,Markdown Risk
Jack Spade,Sweaters,Men,3,437.85000610351562,27,1973.4718818665608,9,Markdown Risk
Volcom,Sweaters,Men,8,437.85000228881836,102,2940.7485229347326,12.75,Markdown Risk
Van Heusen,Sweaters,Men,14,437.66000366210938,124,2075.2411586745611,8.86,Margin Watch
FineBrandShop,Outerwear & Coats,Women,11,437.10000610351562,178,3185.3884239149247,16.18,Margin Watch
Moving Comfort,Intimates,Women,10,436.97999954223633,94,2300.3345933282649,9.4,Margin Watch
RVCA,Jeans,Men,6,436.84999084472656,131,5230.7752985198113,21.83,Markdown Risk
DC,Outerwear & Coats,Men,6,436.4900016784668,58,1900.7036209358366,9.67,Markdown Risk
Quiksilver,Jeans,Men,7,436.41999816894531,65,2101.463968995271,9.29,Markdown Risk
Geoffrey Beene,Pants,Men,13,435.82000732421875,217,3663.540147683138,16.69,Margin Watch
DC,Swim,Men,7,435.5,93,3208.2150095985271,13.29,Markdown Risk
Hanes,Socks,Men,33,435.30000114440918,400,3132.2725662338562,12.12,Hold
Psycho Bunny,Sweaters,Men,3,435,50,3271.7250008974224,16.67,Markdown Risk
Ingrid & Isabel,Maternity,Women,9,434.98999786376953,95,2071.4903927248183,10.56,Markdown Risk
Diesel,Pants,Men,4,434.94999694824219,46,2202.1276587839579,11.5,Markdown Risk
Kenneth Cole,Sweaters,Women,6,434.83000183105469,49,1804.8040575699777,8.17,Markdown Risk
Alex Stevens,Sweaters,Men,14,434.72000122070312,171,2812.6216812494586,12.21,Margin Watch
Hanes,Socks & Hosiery,Women,19,434.6200008392334,330,2776.0185564053377,17.37,Margin Watch
Karen Nueburger,Sleep & Lounge,Women,7,434,101,3742.6700098032597,14.43,Markdown Risk
Calvin Klein Performance,Active,Women,5,433.95000076293945,36,1184.5459715285069,7.2,Markdown Risk
DFDesigns,Sleep & Lounge,Men,17,433.5,153,1461.4656849588528,9,Margin Watch
Volcom,Shorts,Women,11,433.07000350952148,202,4241.3038305355049,18.36,Margin Watch
Karen Kane,Blazers & Jackets,Women,4,431.86999893188477,54,2294.459637782697,13.5,Markdown Risk
Betsey Johnson,Intimates,Women,17,430.15000152587891,181,3492.8117281340815,10.65,Margin Watch
Glamorise,Plus,Women,10,428.91001129150391,103,2277.6730487112368,10.3,Margin Watch
Levi's,Shorts,Women,15,428.17000389099121,190,2663.6144798792461,12.67,Margin Watch
Marcoliani Milano,Socks,Men,13,427.5,172,4482.8085126085207,13.23,Margin Watch
Michael Kors,Underwear,Men,16,427.08999729156494,158,2046.0710868477629,9.88,Margin Watch
Hanes,Active,Men,28,426.88000011444092,263,2112.0977359804697,9.39,Hold
AG Jeans,Maternity,Women,2,425,39,3790.4000107012689,19.5,Markdown Risk
Carhartt,Shorts,Women,9,424.90000152587891,100,2403.4780528922856,11.11,Markdown Risk
Tiger Milly,Dresses,Women,8,423.92001342773438,113,2609.5505803384262,14.13,Markdown Risk
Blue Juice,Outerwear & Coats,Women,3,423.13999938964844,13,860.41909900274277,4.33,Markdown Risk
Metal Mulisha,Shorts,Men,10,422.4900016784668,139,2976.7326144720546,13.9,Margin Watch
Oak Hill,Sweaters,Men,7,422,99,3120.5479986215942,14.14,Markdown Risk
Helene Berman,Blazers & Jackets,Women,2,420,16,1179.7520110458136,8,Markdown Risk
Affazy,Suits & Sport Coats,Men,5,420,48,1684.371995806694,9.6,Markdown Risk
Matix,Fashion Hoodies & Sweatshirts,Men,6,420,63,2394.2640039855614,10.5,Markdown Risk
Capezio,Active,Women,19,419.11999416351318,232,2159.98155754139,12.21,Margin Watch
Danskin,Active,Women,13,418.97999954223633,183,2339.6802516075436,14.08,Margin Watch
J BRAND,Jeans,Men,2,418,13,1366.6509962752464,6.5,Markdown Risk
Filson,Outerwear & Coats,Men,2,418,35,2913.2300083711743,17.5,Markdown Risk
Affliction,Fashion Hoodies & Sweatshirts,Men,4,417.84999084472656,39,1942.1663642424664,9.75,Markdown Risk
Gabby Skye,Dresses,Women,7,417.59999847412115,65,1846.264800965856,9.29,Markdown Risk
Buffalo by David Bitton,Outerwear & Coats,Men,5,417.18000030517578,39,1450.8377440866698,7.8,Markdown Risk
Rago,Intimates,Women,9,415.29999923706055,154,3780.0867098416679,17.11,Markdown Risk
NAU,Blazers & Jackets,Women,1,414.95001220703131,4,587.56922084670077,4,Markdown Risk
Hot Chillys,Active,Women,9,414.79000091552734,89,1735.8426324663719,9.89,Markdown Risk
Seven7,Jeans,Women,6,414,82,3022.6819915862288,13.67,Markdown Risk
Stitch's,Pants,Men,3,413.09999084472656,12,814.63318312768934,4,Markdown Risk
Original Penguin,Pants,Men,4,411,41,1804.9660003744066,10.25,Markdown Risk
J.C. Rags,Sweaters,Men,4,410.53999328613281,80,4966.6334463201238,20,Markdown Risk
HoodieBuddie,Fashion Hoodies & Sweatshirts,Men,7,409.98000144958496,75,2039.0955740013574,10.71,Markdown Risk
Rip Curl,Shorts,Men,9,409.56000518798828,136,3239.5702135669708,15.11,Markdown Risk
Pull-in,Underwear,Men,12,408.92001342773438,154,2527.2344389240834,12.83,Margin Watch
Democracy,Jeans,Women,6,408,57,2201.989997105673,9.5,Markdown Risk
Plenty by Tracy Reese,Dresses,Women,1,408,26,4431.9759883135557,26,Markdown Risk
American Apparel,Fashion Hoodies & Sweatshirts,Men,9,407,73,1789.8800030909479,8.11,Markdown Risk
G by GUESS,Jeans,Men,8,406,95,2621.987998861121,11.88,Markdown Risk
Jonathan Quale,Pants,Men,5,405.34999847412109,26,994.89103745325565,5.2,Markdown Risk
Arc'teryx,Sweaters,Men,3,405,10,695.24999954737723,3.33,Markdown Risk
Tony Hawk,Fashion Hoodies & Sweatshirts,Men,5,405,46,1998.5800040187314,9.2,Markdown Risk
Reef,Shorts,Men,8,404.8700008392334,82,2022.0595928443856,10.25,Markdown Risk
LRG,Shorts,Men,7,403.79000473022461,69,1959.2869347762462,9.86,Markdown Risk
Bailey 44,Dresses,Women,2,403,25,2488.192001670599,12.5,Markdown Risk
Vivienne Westwood,Pants,Men,2,401.739990234375,8,729.55982361854979,4,Markdown Risk
Marina West,Swim,Women,12,401.69001007080078,193,2694.7194786930104,16.08,Margin Watch
Calvin Klein,Swim,Men,7,401.5,85,3007.9220094520133,12.14,Markdown Risk
Lamaze,Maternity,Women,17,401,125,1318.4500035603996,7.35,Margin Watch
Fox,Swim,Men,7,400.3900032043457,190,5426.0854531714385,27.14,Markdown Risk
G-Star,Blazers & Jackets,Women,2,400,20,1430.6846512616207,10,Markdown Risk
MANGO,Blazers & Jackets,Women,7,399.92999839782715,102,2382.5499360836334,14.57,Markdown Risk
Mantoni,Suits & Sport Coats,Men,2,399.89999389648432,34,2974.1522996660415,17,Markdown Risk
Tri-Mountain,Outerwear & Coats,Women,8,398.92000579833984,61,1530.1646442963363,7.63,Markdown Risk
!it Jeans,Jeans,Women,6,398.40999603271484,61,2204.710531265082,10.17,Markdown Risk
Luli Fama,Swim,Women,4,398,62,2148.6500093899667,15.5,Markdown Risk
Calvin Klein,Sweaters,Women,4,398,78,3447.8995177367142,19.5,Markdown Risk
Oxfords Cashmere,Sweaters,Men,2,398,33,4158.1450006105006,16.5,Markdown Risk
7 For All Mankind,Suits & Sport Coats,Men,1,398,23,2883.450724249451,23,Markdown Risk
Yelete,Leggings,Women,27,396.23999404907227,251,2386.7086234168714,9.3,Hold
Lilly Pulitzer,Dresses,Women,4,396.08000183105469,37,1826.5987226020377,9.25,Markdown Risk
7 For All Mankind,Maternity,Women,2,396,31,2592.4140085503459,15.5,Markdown Risk
Metal Mulisha,Outerwear & Coats,Men,4,396,11,479.16000146046287,2.75,Markdown Risk
BCBGMAXAZRIA,Tops & Tees,Women,2,396,35,2540.5399946123362,17.5,Markdown Risk
Sweatsedo,Active,Men,4,396,54,2208.8880096729845,13.5,Markdown Risk
GUESS by Marciano,Jeans,Women,2,396,7,702.70199900865555,3.5,Markdown Risk
French Connection,Tops & Tees,Men,10,395.98000335693359,73,1878.1397217946785,7.3,Margin Watch
Tommy Hilfiger,Underwear,Men,18,395.5,247,2581.9780026092776,13.72,Margin Watch
BCBGMAXAZRIA,Maternity,Women,2,395,17,1359.5140058621762,8.5,Markdown Risk
prAna,Active,Men,6,393.90000152587891,79,2103.5104160980982,13.17,Markdown Risk
CorsetDeal,Intimates,Women,8,393.39999389648443,84,2299.3830632309478,10.5,Markdown Risk
Jules & Jim,Maternity,Women,6,393.3900032043457,90,2786.8450458080438,15,Markdown Risk
SPY,Accessories,Men,4,393.26998901367188,56,2219.5895989242454,14,Markdown Risk
DL1961,Maternity,Women,3,393,29,1754.3475042558275,9.67,Markdown Risk
PAIGE,Maternity,Women,2,393,27,2017.7222480551623,13.5,Markdown Risk
Popsi Lingerie,Intimates,Women,14,392.8600025177002,123,1819.8346721209109,8.79,Margin Watch
Karen Kane,Pants & Capris,Women,6,392.03000068664551,50,1585.7700507083382,8.33,Markdown Risk
Funktional,Outerwear & Coats,Women,1,391.60000610351562,13,2082.1372228941791,13,Markdown Risk
Metal Mulisha,Swim,Men,7,391,88,2722.3200085815042,12.57,Markdown Risk
Geoffrey Beene,Tops & Tees,Men,13,390.68000221252441,158,2745.8036143150553,12.15,Margin Watch
G-Star,Underwear,Men,11,390,91,1542.5200026948005,8.27,Margin Watch
Nantucket Brand,Sweaters,Men,2,390,9,859.95000039227307,4.5,Markdown Risk
Nautica,Suits & Sport Coats,Men,3,389.97001647949219,34,1812.0606677904022,11.33,Markdown Risk
FOXFIRE,Sleep & Lounge,Men,6,389.27998733520508,82,1786.0375592618677,13.67,Markdown Risk
adidas,Tops & Tees,Men,6,388.91999340057373,58,2415.8406337670954,9.67,Markdown Risk
Orvis,Blazers & Jackets,Women,3,387,27,1580.8050116831437,9,Markdown Risk
Merrell,Shorts,Women,6,386.04001235961914,38,1216.5563116453602,6.33,Markdown Risk
Lucky Brand,Swim,Women,5,386,62,1903.8420060947537,12.4,Markdown Risk
J BRAND,Maternity,Women,2,384,21,1834.9380043898709,10.5,Markdown Risk
UNIONBAY,Shorts,Men,11,383.57999801635742,172,3021.6790335067767,15.64,Margin Watch
Arena,Swim,Men,3,383,55,2908.7872157721895,18.33,Markdown Risk
Tommy Hilfiger,Sleep & Lounge,Men,11,382.96999931335449,102,1661.3146434164778,9.27,Margin Watch
Shaper Corset,Intimates,Women,5,382.94999694824219,83,3594.3573623494949,16.6,Markdown Risk
Heather,Dresses,Women,3,382.79999542236322,10,613.7559910633563,3.33,Markdown Risk
Calvin Klein,Socks,Men,19,381.1100025177002,201,2378.5545099198503,10.58,Margin Watch
Key Industries,Tops & Tees,Men,15,380.97999954223633,153,2177.0529995480447,10.2,Margin Watch
HUGO BOSS,Socks,Men,31,380.69999599456787,438,3168.8139901769796,14.13,Hold
NEFF,Outerwear & Coats,Men,4,380,20,894.960002861917,5,Markdown Risk
Michael Kors,Jeans,Men,4,380,27,1261.9800014141947,6.75,Markdown Risk
G-Star,Pants & Capris,Women,2,380,30,2076.4639877568789,15,Markdown Risk
Michael Kors,Outerwear & Coats,Women,2,379.9799919128418,29,3822.7925623466772,14.5,Markdown Risk
Cuddl Duds,Active,Women,11,378.54000091552734,115,1619.2137046312025,10.45,Margin Watch
GaelSong,Sweaters,Men,2,378,18,1561.5179961472747,9,Markdown Risk
O'Neill,Swim,Women,10,377.72999954223633,63,959.59782161968042,6.3,Margin Watch
Allegra K,Maternity,Women,20,377.24000692367554,284,2156.8328051087497,14.2,Hold
Roxy,Sweaters,Women,7,376.98999786376953,132,3400.3455425538086,18.86,Markdown Risk
Squeem Magical Lingerie,Intimates,Women,4,376,56,2544.7031948690073,14,Markdown Risk
Ever-Pretty,Dresses,Women,5,375.98999786376953,84,2899.3654183277567,16.8,Markdown Risk
German Wear,Pants & Capris,Women,2,375.39999389648432,8,849.9055828476786,4,Markdown Risk
David Kahn,Jeans,Women,4,375.089994430542,36,1933.6653162747546,9,Markdown Risk
TexereSilk,Sleep & Lounge,Women,3,375,19,1510.499999858439,6.33,Markdown Risk
Nat Nast,Sweaters,Men,3,375,28,1606.8749995902181,9.33,Markdown Risk
Bill's Khakis,Pants,Men,3,375,58,3495.07000814192,19.33,Markdown Risk
O'Neill,Fashion Hoodies & Sweatshirts,Women,7,374,93,2484.5278183667069,13.29,Markdown Risk
Darn Tough,Socks,Men,12,373.65000534057617,170,2966.2246256769031,14.17,Margin Watch
Sassybax,Intimates,Women,5,373,60,2042.5879969634116,12,Markdown Risk
Key Industries,Jeans,Men,12,372.7400074005127,109,1787.6434016117375,9.08,Margin Watch
Wrangler,Pants,Men,8,372.60000991821289,85,1641.5192721649546,10.63,Markdown Risk
Natori,Intimates,Women,7,372.44000244140625,104,2420.8678714581351,14.86,Markdown Risk
2b by bebe,Tops & Tees,Women,14,372.30001068115234,121,1891.0490436567698,8.64,Margin Watch
Quiksilver,Pants,Men,8,371.5,88,2004.9878746720024,11,Markdown Risk
Haggar,Shorts,Men,10,370.62000274658203,190,3776.9299561337334,19,Margin Watch
MiH Jeans,Jeans,Women,2,370.5,16,1682.2364966310561,8,Markdown Risk
Woolrich,Pants,Men,6,370,41,1125.3630030630159,6.83,Markdown Risk
Kenneth Cole REACTION,Pants,Men,8,369.93000793457031,155,3180.7550717200329,19.38,Markdown Risk
Farr West,Intimates,Women,12,369.78999328613281,118,2521.5094927539335,9.83,Margin Watch
CJ by Cookie Johnson,Jeans,Women,3,369.69999694824219,48,3273.5649729729448,16,Markdown Risk
Cubavera,Tops & Tees,Men,7,369.12001037597656,105,2854.3327305270886,15,Markdown Risk
eVogues Apparel,Tops & Tees,Women,12,368.8800048828125,103,1866.6571622474376,8.58,Margin Watch
Pendleton,Sleep & Lounge,Men,5,368.59999847412109,88,2375.7585830498015,17.6,Markdown Risk
LRG,Jeans,Men,5,367.94999694824219,76,2948.7426562278388,15.2,Markdown Risk
Billabong,Fashion Hoodies & Sweatshirts,Women,6,365.80998992919922,71,1825.4036018605013,11.83,Markdown Risk
Zimmerli of Switzerland,Sweaters,Men,2,364.89999389648438,38,3500.352094638944,19,Markdown Risk
Medela,Maternity,Women,8,364.84000396728516,93,1585.0695796575005,11.63,Markdown Risk
Alternative,Fashion Hoodies & Sweatshirts,Men,8,363.48000335693359,193,5114.9265001158092,24.13,Markdown Risk
Gypsy 05,Fashion Hoodies & Sweatshirts,Women,3,363,32,1956.1080027222633,10.67,Markdown Risk
American Apparel,Dresses,Women,10,362,152,2604.9149957941845,15.2,Margin Watch
FINIS,Swim,Men,3,361.97001075744629,69,3742.0900880777026,23,Markdown Risk
Matix,Pants,Men,6,361.95000076293945,89,2485.8334642012051,14.83,Markdown Risk
Body Wrap,Intimates,Women,5,361.58000183105469,92,2907.9087890969085,18.4,Markdown Risk
James Jeans,Maternity,Women,3,361.09999847412109,28,1322.1959970664229,9.33,Markdown Risk
LOTUSTRADERS,Blazers & Jackets,Women,7,360.93001174926758,151,3070.7007608703821,21.57,Markdown Risk
Nautica,Jeans,Men,8,360.75000381469727,140,3479.8057675817827,17.5,Markdown Risk
CW-X,Active,Women,4,360,31,1184.340003579855,7.75,Markdown Risk
Raffi,Sweaters,Men,3,360,35,2893.4899987420067,11.67,Markdown Risk
Outdoor Gear Inc,Pants,Men,3,360,15,779.40000034868717,5,Markdown Risk
Ungaro,Suits & Sport Coats,Men,2,359.98001098632812,13,1029.5428258422135,6.5,Markdown Risk
Landing Leathers,Outerwear & Coats,Men,2,359.98001098632812,15,1238.6912220335639,7.5,Markdown Risk
Kassatex,Sleep & Lounge,Men,4,359.95999145507812,12,479.46670675155406,3,Markdown Risk
Corcini,Pants,Men,4,359.95999145507812,18,738.63790360630287,4.5,Markdown Risk
eVogues Apparel,Sweaters,Women,14,358.8599967956543,202,2189.6609650765522,14.43,Margin Watch
Outdoor Research,Accessories,Men,11,357.03000259399414,132,1895.5735688775442,12,Margin Watch
J.C. Rags,Shorts,Men,3,357,14,901.30600188672543,4.67,Markdown Risk
G by GUESS,Fashion Hoodies & Sweatshirts,Men,6,357,27,919.98900215071626,4.5,Markdown Risk
Halston Heritage,Dresses,Women,1,357,29,5173.9079469667786,29,Markdown Risk
HOBO,Plus,Women,4,356.10000610351562,60,2713.280332316715,15,Markdown Risk
Mountain Khakis,Active,Men,4,355.79998779296869,56,2083.926385873116,14,Markdown Risk
Ralph Lauren,Jeans,Men,1,355,23,4670.3799899015576,23,Markdown Risk
NoeMie,Dresses,Women,5,353.98999786376953,105,3457.8764075530989,21,Markdown Risk
Parker,Blazers & Jackets,Women,1,352,26,2236.47826817529,26,Markdown Risk
Joie,Sweaters,Women,2,351.63999938964844,19,1917.0683948066667,9.5,Markdown Risk
Columbia,Plus,Women,6,351.35000038146973,70,2131.7828627984836,11.67,Markdown Risk
Buffalo by David Bitton,Sweaters,Men,5,351.02000045776367,42,1754.6879411365508,8.4,Markdown Risk
Fruit of the Loom,Intimates,Women,22,350.7599983215332,303,2488.0839201191357,13.77,Hold
Bella,Fashion Hoodies & Sweatshirts,Women,12,350.65000152587891,140,2255.7178095160721,11.67,Margin Watch
Hot Chillys,Active,Men,9,350.19000244140625,95,1420.8520834120075,10.56,Markdown Risk
Pendleton,Outerwear & Coats,Women,1,350,11,1874.9499989673495,11,Markdown Risk
G-Star,Fashion Hoodies & Sweatshirts,Men,3,350,14,1069.4000025745481,4.67,Markdown Risk
Skedouche,Sweaters,Women,5,349.94998931884766,31,1010.8198187654043,6.2,Markdown Risk
Outerwears,Outerwear & Coats,Women,5,349.94998931884766,43,1362.7752441943567,8.6,Markdown Risk
Fila,Sweaters,Men,4,349.80999755859375,37,1592.7208423644681,9.25,Markdown Risk
Bathrobes Online,Sleep & Lounge,Men,4,349.34999084472656,49,2062.5690524638535,12.25,Markdown Risk
Evisu,Jeans,Men,1,349.17001342773438,20,3610.4179322869454,20,Markdown Risk
Spa & Resort,Sleep & Lounge,Women,7,348.64999771118164,56,1642.191699143724,8,Markdown Risk
Betsey Johnson,Sleep & Lounge,Women,5,348.20000076293945,71,2682.6544227645327,14.2,Markdown Risk
Wool Overs,Sweaters,Women,8,348,113,2188.8719950541854,14.13,Markdown Risk
Toddland,Pants,Men,6,348,39,1072.3620012998581,6.5,Markdown Risk
Rory Beca,Blazers & Jackets,Women,3,347.97999954223633,21,1001.4155653077537,7,Markdown Risk
Marc Ecko Cut & Sew,Fashion Hoodies & Sweatshirts,Men,6,347,56,1909.6070006792434,9.33,Markdown Risk
Bella,Active,Women,6,346.94999694824219,56,990.84303815725571,9.33,Markdown Risk
Hanes,Sleep & Lounge,Men,12,346.91999816894531,159,1706.07526267745,13.25,Margin Watch
Oscar de la Renta,Sleep & Lounge,Women,5,345,83,3533.5000094976276,16.6,Markdown Risk
RED KAP,Outerwear & Coats,Men,3,344.96999359130854,8,361.52855599785096,2.67,Markdown Risk
Roamans,Suits,Women,4,344.95999145507812,40,2202.8916614039167,10,Markdown Risk
Ted Baker,Blazers & Jackets,Women,2,344.46000671386719,27,1561.1406566010205,13.5,Markdown Risk
Hugo Boss,Accessories,Men,3,344.25,13,583.27424835506827,4.33,Markdown Risk
Moonar,Dresses,Women,5,344.16999816894531,78,2326.6190390462425,15.6,Markdown Risk
Brand Q,Suits & Sport Coats,Men,10,342.850004196167,124,1796.8897186497381,12.4,Margin Watch
True Grit,Fashion Hoodies & Sweatshirts,Men,3,342.63000011444092,17,657.17140151924855,5.67,Markdown Risk
Hold Your Haunches,Leggings,Women,2,341.95999145507812,16,1685.1788440461105,8,Markdown Risk
Nike,Tops & Tees,Men,7,341.43999671936035,66,1892.2541380733182,9.43,Markdown Risk
BGSD,Outerwear & Coats,Men,2,339.99000549316406,50,3435.1054003788186,25,Markdown Risk
Kenneth Cole,Tops & Tees,Men,7,339.93001174926758,98,2544.7369961735481,14,Markdown Risk
Royal Robbins,Sweaters,Women,3,339.89999389648438,27,1443.308776505959,9,Markdown Risk
Gregg Homme,Underwear,Men,13,339.35000228881836,203,2499.3594691372905,15.62,Margin Watch
Vitamin A,Swim,Women,3,339,24,1255.276000648737,8,Markdown Risk
Blarney Woollen Mills,Sweaters,Women,4,339,21,772.9199984986335,5.25,Markdown Risk
Kenneth Cole,Blazers & Jackets,Women,2,339,47,2533.1378321297143,23.5,Markdown Risk
Fun Boxers,Sleep & Lounge,Men,18,338.72999954223633,255,1940.8135255166421,14.17,Margin Watch
Gregg Homme,Swim,Men,10,337.65000343322754,138,2483.8634623010339,13.8,Margin Watch
Habitual,Shorts,Women,3,337.5,23,1336.5000009303913,7.67,Markdown Risk
Allegra K,Pants & Capris,Women,26,337.32000637054443,367,2592.9100792280574,14.12,Hold
